ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:28:50,github.com,https://github.com/duong-dan-loi-404-test,22,25.925,72.928,77.035,152.947,302.062,648.881,271696,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:28:52,httpbin.org,https://httpbin.org/status/500,22,28.71,276.602,554.511,278.114,0.062,1164.67,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:28:54,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12044.966,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:29:07,google.com,https://google.com/,22,0.861,41.267,57.763,105.469,0.102,221.917,847,301,cold,0,1,,,real
2026-09-05T22:29:08,cloudflare.com,https://cloudflare.com/,22,6.683,54.2,56.912,154.859,0.103,290.815,1158,301,cold,0,1,,,real
2026-09-05T22:29:09,expired.badssl.com,https://expired.badssl.com/,22,1.104,221.958,,,,465.117,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:11,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.783,221.993,,,,462.069,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:12,github.com,https://github.com/duong-dan-loi-404-test,22,0.897,67.009,70.468,140.565,272.503,569.971,271674,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:29:14,httpbin.org,https://httpbin.org/status/500,22,0.767,274.535,542.857,271.14,0.078,1106.498,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:29:16,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12022.162,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:29:29,google.com,https://google.com/,22,0.668,79.796,72.335,131.849,0.067,302.967,847,301,cold,0,1,,,real
2026-09-05T22:29:30,cloudflare.com,https://cloudflare.com/,22,1.009,41.454,46.795,127.219,0.085,233.805,1156,301,cold,0,1,,,real
2026-09-05T22:29:31,expired.badssl.com,https://expired.badssl.com/,22,0.893,218.974,,,,461.615,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:33,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.87,218.432,,,,458.933,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:34,github.com,https://github.com/duong-dan-loi-404-test,22,0.735,71.148,76.121,148.979,289.885,604.706,271663,404,cold,0,0,HTTP,status_404,real
