ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-08-28T01:51:41,127.0.0.1,http://127.0.0.1:59999/,1,0.02,,,,,2008.062,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:51:43,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.084,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:51:43,localhost,http://localhost:3000/normal,1,0.266,0.284,0.0,0.327,0.009,0.905,207,200,cold,0,1,,,local_fault
2026-08-28T01:51:43,localhost,http://localhost:3000/slow-server,1,0.195,11.84,0.0,,,2012.263,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:51:45,localhost,http://localhost:3000/error-500,1,0.271,0.922,0.0,0.214,0.007,1.434,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:51:45,localhost,http://localhost:3000/drop-connection,1,0.201,0.244,0.0,0.117,,0.602,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:51:45,127.0.0.1,http://127.0.0.1:59999/,1,0.02,,,,,2008.493,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:51:47,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.899,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:51:47,localhost,http://localhost:3000/normal,1,0.293,0.261,0.0,0.283,0.007,0.86,207,200,cold,0,1,,,local_fault
2026-08-28T01:51:47,localhost,http://localhost:3000/slow-server,1,0.296,0.447,0.0,,,2004.085,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:51:49,localhost,http://localhost:3000/error-500,1,0.701,11.99,0.0,0.431,0.014,13.199,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:51:49,localhost,http://localhost:3000/drop-connection,1,0.352,0.353,0.0,0.229,,0.997,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:51:49,127.0.0.1,http://127.0.0.1:59999/,1,0.031,,,,,2003.969,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:51:51,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.296,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:51:51,localhost,http://localhost:3000/normal,1,0.572,11.404,0.0,0.475,0.013,12.5,207,200,cold,0,1,,,local_fault
2026-08-28T01:51:51,localhost,http://localhost:3000/slow-server,1,0.369,0.274,0.0,,,2000.637,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:51:53,localhost,http://localhost:3000/error-500,1,0.456,0.682,0.0,0.398,0.018,1.594,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:51:53,localhost,http://localhost:3000/drop-connection,1,0.268,0.273,0.0,0.194,,0.782,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:51:53,127.0.0.1,http://127.0.0.1:59999/,1,0.023,,,,,2003.458,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:51:55,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.768,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:51:55,localhost,http://localhost:3000/normal,1,0.363,12.599,0.0,0.569,0.02,13.583,207,200,cold,0,1,,,local_fault
2026-08-28T01:51:55,localhost,http://localhost:3000/slow-server,1,0.248,0.264,0.0,,,2004.465,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:51:57,localhost,http://localhost:3000/error-500,1,0.421,1.04,0.0,0.476,0.015,1.989,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:51:57,localhost,http://localhost:3000/drop-connection,1,0.451,0.472,0.0,0.599,,1.621,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:51:57,127.0.0.1,http://127.0.0.1:59999/,1,0.053,,,,,2008.496,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:51:59,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.937,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:51:59,localhost,http://localhost:3000/normal,1,0.509,0.455,0.0,0.307,0.009,1.297,207,200,cold,0,1,,,local_fault
2026-08-28T01:51:59,localhost,http://localhost:3000/slow-server,1,0.271,0.449,0.0,,,2008.772,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:01,localhost,http://localhost:3000/error-500,1,0.324,0.269,0.0,0.324,0.009,0.942,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:01,localhost,http://localhost:3000/drop-connection,1,0.196,0.292,0.0,0.14,,0.668,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:01,127.0.0.1,http://127.0.0.1:59999/,1,0.016,,,,,2004.06,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:03,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.975,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:03,localhost,http://localhost:3000/normal,1,0.353,0.25,0.0,0.289,0.007,0.913,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:03,localhost,http://localhost:3000/slow-server,1,0.185,0.301,0.0,,,2003.511,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:05,localhost,http://localhost:3000/error-500,1,0.276,0.795,0.0,0.317,0.008,1.414,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:05,localhost,http://localhost:3000/drop-connection,1,0.245,0.388,0.0,0.163,,0.839,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:05,127.0.0.1,http://127.0.0.1:59999/,1,0.02,,,,,2003.585,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:07,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,3.083,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:07,localhost,http://localhost:3000/normal,1,0.297,0.404,0.0,0.236,0.008,0.961,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:07,localhost,http://localhost:3000/slow-server,1,0.288,0.404,0.0,,,2002.736,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:09,localhost,http://localhost:3000/error-500,1,0.483,0.696,0.0,0.516,0.018,1.749,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:10,localhost,http://localhost:3000/drop-connection,1,0.481,0.521,0.0,0.206,,1.299,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:10,127.0.0.1,http://127.0.0.1:59999/,1,0.041,,,,,2004.715,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:12,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.162,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:12,localhost,http://localhost:3000/normal,1,0.467,0.808,0.0,0.397,0.017,1.727,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:12,localhost,http://localhost:3000/slow-server,1,0.442,0.461,0.0,,,2003.973,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:14,localhost,http://localhost:3000/error-500,1,0.428,16.471,0.0,0.278,0.012,17.221,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:14,localhost,http://localhost:3000/drop-connection,1,0.274,0.421,0.0,0.196,,0.944,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:14,127.0.0.1,http://127.0.0.1:59999/,1,0.027,,,,,2004.11,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:16,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.767,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:16,localhost,http://localhost:3000/normal,1,0.191,0.219,0.0,0.287,0.006,0.718,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:16,localhost,http://localhost:3000/slow-server,1,0.188,0.275,0.0,,,2007.612,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:18,localhost,http://localhost:3000/error-500,1,0.278,0.405,0.0,0.26,0.01,0.972,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:18,localhost,http://localhost:3000/drop-connection,1,0.195,0.218,0.0,0.423,,0.881,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:18,127.0.0.1,http://127.0.0.1:59999/,1,0.015,,,,,2005.225,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:20,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.184,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:20,localhost,http://localhost:3000/normal,1,0.269,0.268,0.0,0.282,0.007,0.841,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:20,localhost,http://localhost:3000/slow-server,1,0.169,0.188,0.0,,,2007.941,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:22,localhost,http://localhost:3000/error-500,1,0.305,0.542,0.0,0.261,0.008,1.137,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:22,localhost,http://localhost:3000/drop-connection,1,0.256,0.255,0.0,0.238,,0.8,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:22,127.0.0.1,http://127.0.0.1:59999/,1,0.019,,,,,2003.494,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:24,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,5.172,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:24,localhost,http://localhost:3000/normal,1,0.281,0.408,0.0,0.587,0.01,1.308,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:24,localhost,http://localhost:3000/slow-server,1,0.192,12.42,0.0,,,2012.99,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:26,localhost,http://localhost:3000/error-500,1,0.269,2.65,0.0,0.355,0.008,3.303,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:26,localhost,http://localhost:3000/drop-connection,1,0.215,13.031,0.0,0.19,,13.486,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:26,127.0.0.1,http://127.0.0.1:59999/,1,0.027,,,,,2000.274,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:28,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.871,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:28,localhost,http://localhost:3000/normal,1,0.289,0.352,0.0,0.36,0.01,1.035,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:28,localhost,http://localhost:3000/slow-server,1,0.274,16.908,0.0,,,2021.842,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:30,localhost,http://localhost:3000/error-500,1,0.61,0.374,0.0,0.409,0.01,1.422,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:30,localhost,http://localhost:3000/drop-connection,1,0.263,0.221,0.0,0.11,,0.635,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:30,127.0.0.1,http://127.0.0.1:59999/,1,0.029,,,,,2005.029,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:32,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.283,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:32,localhost,http://localhost:3000/normal,1,0.255,0.883,0.0,0.35,0.009,1.515,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:32,localhost,http://localhost:3000/slow-server,1,0.239,0.253,0.0,,,2004.855,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:34,localhost,http://localhost:3000/error-500,1,0.245,0.414,0.0,0.321,0.01,1.01,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:34,localhost,http://localhost:3000/drop-connection,1,0.193,0.494,0.0,0.156,,0.882,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:34,127.0.0.1,http://127.0.0.1:59999/,1,0.021,,,,,2010.658,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:36,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.901,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:36,localhost,http://localhost:3000/normal,1,0.291,0.403,0.0,0.278,0.007,0.996,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:36,localhost,http://localhost:3000/slow-server,1,0.287,0.289,0.0,,,2001.213,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:39,localhost,http://localhost:3000/error-500,1,0.255,0.382,0.0,0.351,0.009,1.017,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:39,localhost,http://localhost:3000/drop-connection,1,0.283,0.391,0.0,0.169,,0.887,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:39,127.0.0.1,http://127.0.0.1:59999/,1,0.031,,,,,2015.208,0,,cold,0,0,CONNECT,TimeoutError,local_fault
